epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,4238,1.35562,0.80958,1.00325,0.68959,0.83634,0.78895,0.46884,1.35621,0.82509,1.02455,0.0015842,0.0015842,0.0015842
23,4423.8,1.36734,0.81668,1.00699,0.68419,0.84086,0.776,0.45771,1.36431,0.84432,1.03261,0.0015644,0.0015644,0.0015644
24,4637.6,1.37286,0.81523,1.00268,0.69608,0.83931,0.79175,0.47936,1.32058,0.80966,1.01549,0.0015446,0.0015446,0.0015446
25,4815.43,1.36571,0.80984,1.00334,0.70245,0.84271,0.79471,0.48029,1.33294,0.81584,1.01667,0.0015248,0.0015248,0.0015248
26,4958.92,1.3523,0.8018,0.99419,0.69053,0.84892,0.7955,0.48399,1.31835,0.81686,1.0112,0.001505,0.001505,0.001505
27,5134.07,1.3286,0.78965,0.99183,0.69555,0.83201,0.78838,0.4797,1.31898,0.80887,1.01349,0.0014852,0.0014852,0.0014852
28,5307.47,1.33058,0.79108,0.98851,0.69291,0.83664,0.79068,0.47811,1.33317,0.80875,1.01878,0.0014654,0.0014654,0.0014654
29,5460.57,1.34222,0.79902,0.9967,0.69935,0.83196,0.79569,0.48352,1.32993,0.81358,1.01497,0.0014456,0.0014456,0.0014456
30,5616.75,1.37002,0.80346,0.99444,0.7022,0.82474,0.78915,0.4757,1.32692,0.82038,1.01941,0.0014258,0.0014258,0.0014258
31,5780.99,1.32774,0.78556,0.99523,0.69141,0.84109,0.79432,0.48673,1.30999,0.80865,1.01116,0.001406,0.001406,0.001406
32,5920.62,1.33013,0.78636,0.98826,0.70137,0.83606,0.80005,0.48923,1.31038,0.80261,1.0107,0.0013862,0.0013862,0.0013862
33,6083.71,1.33345,0.78175,0.98745,0.69425,0.8464,0.79589,0.48931,1.31059,0.80087,1.01099,0.0013664,0.0013664,0.0013664
34,6214.2,1.32433,0.77935,0.98276,0.69433,0.84165,0.78728,0.47657,1.33604,0.80759,1.01763,0.0013466,0.0013466,0.0013466
35,6359.17,1.32746,0.78354,0.98238,0.69505,0.85148,0.80076,0.48867,1.31112,0.8076,1.01008,0.0013268,0.0013268,0.0013268
36,6563.19,1.32044,0.77519,0.9902,0.69389,0.85017,0.78827,0.48441,1.31073,0.80497,1.0109,0.001307,0.001307,0.001307
37,6761.82,1.31565,0.7762,0.98042,0.7092,0.83132,0.80104,0.49306,1.30265,0.80082,1.00803,0.0012872,0.0012872,0.0012872
38,6926.01,1.31384,0.77109,0.98344,0.69226,0.85367,0.79673,0.49034,1.3066,0.79465,1.01491,0.0012674,0.0012674,0.0012674
39,7106.11,1.2981,0.76739,0.97948,0.70006,0.85409,0.80243,0.49543,1.30116,0.793,1.00567,0.0012476,0.0012476,0.0012476
40,7247.81,1.29623,0.7645,0.97975,0.69437,0.85479,0.79624,0.49172,1.30308,0.80014,1.00689,0.0012278,0.0012278,0.0012278
41,7460.69,1.29563,0.76025,0.97183,0.69551,0.83354,0.79338,0.48957,1.30118,0.80511,1.00731,0.001208,0.001208,0.001208
